id,nni,first_name,last_name,full_name,gender,birth_date,ethnicity,phone,email,wilaya_id,wilaya_name,moughataa_id,moughataa_name,profile_type,kyc_level,status,device_type,registration_date,last_login,created_at,updated_at
5999,8801922167,Mariem,Mint El Mokhtar,Mariem Mint El Mokhtar,F,1988-10-01,MAURE,+22222128787,mariem.mintelmokhtar579@hotmail.fr,1,Nouakchott-Nord,1,,STANDARD,,ACTIVE,USSD,2022-01-27,2022-10-21T22:55:54.591Z,2022-01-27T21:55:52.032Z,2022-10-21T22:55:54.591Z
4501,8515381810,Ndèye,Sow,Ndèye Sow,F,1985-11-05,PEUL,+22232108446,ndèye.sow263@gmail.com,15,Tiris Zemmour,55,,STANDARD,,ACTIVE,ANDROID,2024-03-04,2024-06-19T06:56:56.534Z,2024-03-04T03:34:21.925Z,2024-06-19T06:56:56.534Z
7508,0315341467,Amady,Tall,Amady Tall,M,2003-05-19,PEUL,+22248654411,amady.tall320@outlook.com,15,Tiris Zemmour,53,,OCCASIONAL,,ACTIVE,ANDROID,2022-04-30,2024-02-05T05:26:37.847Z,2022-04-30T04:36:28.163Z,2024-02-05T05:26:37.847Z
7120,9501408243,Khadija,Mint Mahmoud,Khadija Mint Mahmoud,F,1995-06-02,MAURE,+22233282431,,1,Nouakchott-Nord,3,,STANDARD,,ACTIVE,WEB,2023-09-29,2024-07-31T20:54:22.624Z,2023-09-29T10:41:05.446Z,2024-07-31T20:54:22.624Z
7578,6914977418,Mahjouba,Mint Mokhtar,Mahjouba Mint Mokhtar,F,1969-03-08,MAURE,+22232024977,,14,Inchiri,52,,STANDARD,,ACTIVE,ANDROID,2023-09-19,2024-04-18T18:04:05.427Z,2023-09-19T12:53:17.283Z,2024-04-18T18:04:05.427Z
236,6215022211,Sidi,Thiaw,Sidi Thiaw,M,1962-08-27,SONINKE,+22232337452,sidi.thiaw244@yahoo.fr,15,Tiris Zemmour,54,,OCCASIONAL,,ACTIVE,USSD,2031-06-15T10:00:00.000Z,2024-06-09T11:40:53.530Z,2024-03-06T11:23:58.602Z,2024-06-09T11:40:53.530Z
887,6002363167,Bassirou,Diop,Bassirou Diop,M,1960-03-02,PEUL,+22244366990,bassirou.diop53@hotmail.fr,2,Nouakchott-Ouest,6,,DORMANT,,ACTIVE,ANDROID,2034-06-15T10:00:00.000Z,2023-11-12T10:57:22.214Z,2023-08-11T09:11:57.916Z,2023-11-12T10:57:22.214Z
3206,9602244401,Houda,Mint El Mokhtar,Houda Mint El Mokhtar,F,1996-02-28,MAURE,+22224927833,houda.mintelmokhtar157@yahoo.fr,2,Nouakchott-Ouest,6,,STANDARD,,BLOCKED,ANDROID,2035-06-15T10:00:00.000Z,2023-06-20T05:13:19.169Z,2022-07-08T14:31:04.160Z,2023-06-20T05:13:19.169Z
8571,7504096832,Sidina,Ould Mahmoud,Sidina Ould Mahmoud,M,1975-10-12,MAURE,+22225138385,,4,Dakhlet Nouadhibou,10,,STANDARD,,ACTIVE,ANDROID,2023-01-26,2023-12-07T10:46:27.019Z,2023-01-26T07:50:02.194Z,2023-12-07T10:46:27.019Z
5347,9815798579,Cheikh Sidiya,Wane,Cheikh Sidiya Wane,M,1998-05-03,PEUL,+22224026387,cheikhsidiya.wane97@hotmail.fr,15,Tiris Zemmour,53,,STANDARD,,ACTIVE,USSD,2023-04-25,2024-02-10T09:27:02.064Z,2023-04-25T03:29:21.646Z,2024-02-10T09:27:02.064Z
252,9901035029,Souleymane,Touré,Souleymane Touré,M,1999-05-13,WOLOF,+22224846282,,1,Nouakchott-Nord,2,,ACTIVE,,ACTIVE,ANDROID,2024-04-30,2024-10-05T00:24:47.258Z,2024-04-30T06:12:49.232Z,2024-10-05T00:24:47.258Z
1635,8208329541,Souleymane,Tall,Souleymane Tall,M,1982-01-16,WOLOF,+22236886498,,8,Guidimaka,27,,STANDARD,,ACTIVE,API,2023-08-24,2024-09-07T19:45:08.646Z,2023-08-24T06:43:50.748Z,2024-09-07T19:45:08.646Z
4541,9501569410,Rokaya,Mint Tourad,Rokaya Mint Tourad,F,1995-12-17,MAURE,+22248086560,,1,Nouakchott-Nord,2,,STANDARD,,ACTIVE,ANDROID,2022-06-26,2023-12-19T07:10:10.894Z,2022-06-26T21:22:54.036Z,2023-12-19T07:10:10.894Z
1383,9702683959,Nagi,Thiaw,Nagi Thiaw,M,1997-06-11,SONINKE,+22247973680,,2,Nouakchott-Ouest,4,,STANDARD,,ACTIVE,ANDROID,2023-06-10,2024-03-04T12:55:48.038Z,2023-06-10T02:25:08.531Z,2024-03-04T12:55:48.038Z
2382,8104169739,Abdallah,Ould Ahmedou,Abdallah Ould Ahmedou,M,1981-08-11,MAURE,+22244646201,,4,Dakhlet Nouadhibou,10,,OCCASIONAL,,ACTIVE,ANDROID,2023-03-20,2023-06-07T17:32:01.685Z,2023-03-20T01:15:18.653Z,2023-06-07T17:32:01.685Z
2114,9504888608,Sidi Ahmed,Ould Ahmed,Sidi Ahmed Ould Ahmed,M,1995-06-14,MAURE,+22232302853,,4,Dakhlet Nouadhibou,10,,ACTIVE,,ACTIVE,ANDROID,2024-11-11,2024-12-08T06:55:30.676Z,2024-11-11T07:53:03.894Z,2024-12-08T06:55:30.676Z
8350,0314327998,Ethmane,Sall,Ethmane Sall,M,2003-10-07,PEUL,+22225408001,,14,Inchiri,52,,STANDARD,,ACTIVE,ANDROID,2022-10-09,2023-07-19T12:32:29.396Z,2022-10-09T11:12:10.550Z,2023-07-19T12:32:29.396Z
5591,7606522659,Sidina,Ould Horma,Sidina Ould Horma,M,1976-08-24,MAURE,+22236125712,sidina.ouldhorma993@outlook.com,6,Brakna,21,,STANDARD,,ACTIVE,ANDROID,2023-12-21,2024-03-18T14:57:31.595Z,2023-12-21T21:00:54.305Z,2024-03-18T14:57:31.595Z
3769,7102054470,Mohamed Lemine,Fofana,Mohamed Lemine Fofana,M,1971-07-02,PEUL,+22222629495,mohamedlemine.fofana58@hotmail.fr,2,Nouakchott-Ouest,5,,OCCASIONAL,,ACTIVE,USSD,2023-03-22,2023-10-23T07:00:06.634Z,2023-03-22T01:49:01.294Z,2023-10-23T07:00:06.634Z
1891,0201991147,Rokaya,Wane,Rokaya Wane,F,2002-08-08,PEUL,+22234443294,,1,Nouakchott-Nord,3,,ACTIVE,,SUSPENDED,ANDROID,2022-10-29,2022-12-12T10:00:49.878Z,2022-10-29T21:53:02.459Z,2022-12-12T10:00:49.878Z
7683,9012713384,Aïssata,Thiam,Aïssata Thiam,F,1990-10-01,WOLOF,+22234811827,,12,Adrar,45,,STANDARD,,PENDING_KYC,ANDROID,2024-06-14,2024-10-10T20:54:42.804Z,2024-06-14T05:44:53.694Z,2024-10-10T20:54:42.804Z
525,6103081414,Mahfoudh,Bah,Mahfoudh Bah,M,1961-11-07,PEUL,+22232547813,,3,Nouakchott-Sud,8,,DORMANT,,SUSPENDED,USSD,2023-05-05,2023-12-14T01:11:01.820Z,2023-05-05T13:47:32.194Z,2023-12-14T01:11:01.820Z
8129,0102487349,Soueidatt,Ould Saad,Soueidatt Ould Saad,M,2001-07-20,MAURE,+22223143508,soueidatt.ouldsaad934@yahoo.fr,2,Nouakchott-Ouest,6,,ACTIVE,,ACTIVE,ANDROID,2023-12-01,2024-08-13T13:44:11.489Z,2023-12-01T02:57:56.182Z,2024-08-13T13:44:11.489Z
4873,9315483182,Mohamed Mahmoud,Wane,Mohamed Mahmoud Wane,M,1993-04-13,SONINKE,+22224979305,,15,Tiris Zemmour,53,,OCCASIONAL,,ACTIVE,ANDROID,2024-02-01,2024-08-15T23:38:59.705Z,2024-02-01T18:49:21.547Z,2024-08-15T23:38:59.705Z
6133,8902604605,Mbarka,Mint Abdel Aziz,Mbarka Mint Abdel Aziz,F,1989-10-04,MAURE,+22242613581,mbarka.mintabdelaziz628@hotmail.fr,2,Nouakchott-Ouest,6,,STANDARD,,ACTIVE,ANDROID,2023-02-28,2024-10-02T07:44:15.475Z,2023-02-28T09:50:16.103Z,2024-10-02T07:44:15.475Z
5597,8203594348,Ghali,Ould Khatri,Ghali Ould Khatri,M,1982-02-10,MAURE,+22224053162,,3,Nouakchott-Sud,8,,ACTIVE,,SUSPENDED,USSD,2023-01-19,2024-05-05T23:33:16.336Z,2023-01-19T15:49:53.113Z,2024-05-05T23:33:16.336Z
7642,7604154658,Souleymane,Bâ,Souleymane Bâ,M,1976-01-21,PEUL,+22233219702,souleymane.bâ344@gmail.com,4,Dakhlet Nouadhibou,10,,STANDARD,,ACTIVE,ANDROID,2022-06-08,2023-04-21T14:19:52.093Z,2022-06-08T15:07:30.730Z,2023-04-21T14:19:52.093Z
2753,7501172003,Aminetou,Bâ,Aminetou Bâ,F,1975-01-27,PEUL,+22246239771,,1,Nouakchott-Nord,3,,PREMIUM,,ACTIVE,WEB,2022-02-08,2024-11-21T10:41:06.626Z,2022-02-08T03:25:32.542Z,2024-11-21T10:41:06.626Z
5627,7312017113,Mariama,Fall,Mariama Fall,F,1973-02-16,WOLOF,+22222128441,mariama.fall978@gmail.com,12,Adrar,45,,DORMANT,,PENDING_KYC,ANDROID,2024-01-20,2024-12-03T09:26:07.073Z,2024-01-20T13:00:03.363Z,2024-12-03T09:26:07.073Z
5475,9901272628,Abdel Rahman,Ould Moulaye,Abdel Rahman Ould Moulaye,M,1999-07-20,MAURE,+22223773641,,1,Nouakchott-Nord,2,,OCCASIONAL,,ACTIVE,ANDROID,2023-11-28,2024-03-13T21:48:07.127Z,2023-11-28T13:51:58.374Z,2024-03-13T21:48:07.127Z
6997,7503727900,Anta,Sy,Anta Sy,F,1975-01-16,PEUL,+22245529123,,3,Nouakchott-Sud,7,,ACTIVE,,BLOCKED,ANDROID,2024-07-22,2024-11-08T13:00:02.853Z,2024-07-22T13:19:21.331Z,2024-11-08T13:00:02.853Z
1554,7903751451,Aminetou,Mint Ahmed,Aminetou Mint Ahmed,F,1979-08-02,MAURE,+22237581034,,3,Nouakchott-Sud,9,,OCCASIONAL,,ACTIVE,USSD,2023-05-21,2024-10-26T22:24:27.733Z,2023-05-21T17:38:30.026Z,2024-10-26T22:24:27.733Z
830,9902345260,Rokaya,Mint Sidi,Rokaya Mint Sidi,F,1999-03-21,MAURE,+22234146152,rokaya.mintsidi204@yahoo.fr,2,Nouakchott-Ouest,4,,STANDARD,,ACTIVE,ANDROID,2024-02-18,2024-07-22T10:36:41.900Z,2024-02-18T14:58:56.260Z,2024-07-22T10:36:41.900Z
78,0502843776,Ahmed Baba,Ould Isselmou,Ahmed Baba Ould Isselmou,M,2005-08-14,MAURE,+22223911740,,2,Nouakchott-Ouest,4,,STANDARD,,ACTIVE,IOS,2023-11-04,2024-08-10T08:35:50.730Z,2023-11-04T21:30:44.411Z,2024-08-10T08:35:50.730Z
4111,7604612062,Yero,Bâ,Yero Bâ,M,1976-04-01,WOLOF,+22232073496,,4,Dakhlet Nouadhibou,10,,STANDARD,,INACTIVE,ANDROID,2023-04-24,2023-07-31T03:48:06.629Z,2023-04-24T11:55:20.506Z,2023-07-31T03:48:06.629Z
2489,6003957381,Mariam,Dia,Mariam Dia,F,1960-08-20,PEUL,+22223339634,,3,Nouakchott-Sud,8,,ACTIVE,,ACTIVE,ANDROID,2023-11-26,2023-12-07T12:51:56.595Z,2023-11-26T07:03:46.833Z,2023-12-07T12:51:56.595Z
6119,8002351728,Tekber,Mint Salem,Tekber Mint Salem,F,1980-06-12,MAURE,+22223474923,tekber.mintsalem537@outlook.com,2,Nouakchott-Ouest,6,,OCCASIONAL,,ACTIVE,USSD,2024-01-10,2024-01-25T09:33:00.041Z,2024-01-10T08:50:06.716Z,2024-01-25T09:33:00.041Z
1264,6403893496,Aichetou,Mint Ahmedou,Aichetou Mint Ahmedou,F,1964-09-22,MAURE,+22232311419,,3,Nouakchott-Sud,7,,STANDARD,,ACTIVE,ANDROID,2023-07-23,2024-09-23T18:32:49.525Z,2023-07-23T08:14:01.837Z,2024-09-23T18:32:49.525Z
2934,9115748331,Pape,Faye,Pape Faye,M,1991-08-26,WOLOF,+22235379588,pape.faye560@outlook.com,15,Tiris Zemmour,54,,STANDARD,,ACTIVE,ANDROID,2023-01-29,2023-12-31T14:46:24.221Z,2023-01-29T11:03:33.191Z,2023-12-31T14:46:24.221Z
9624,7807434249,Mbaye,Cissé,Mbaye Cissé,M,1978-12-13,PEUL,+22234434119,,7,Gorgol,25,,STANDARD,,ACTIVE,ANDROID,2023-01-12,2023-06-25T17:19:47.289Z,2023-01-12T22:46:12.016Z,2023-06-25T17:19:47.289Z
5890,9003813273,Naima,Mint Saad,Naima Mint Saad,F,1990-05-13,MAURE,+22236563268,,3,Nouakchott-Sud,9,,STANDARD,,ACTIVE,IOS,2024-02-21,2024-12-27T21:57:49.361Z,2024-02-21T00:02:08.334Z,2024-12-27T21:57:49.361Z
576,6204331245,Abdallah,Ould Ghali,Abdallah Ould Ghali,M,1962-10-15,MAURE,+22222894014,,4,Dakhlet Nouadhibou,10,,STANDARD,,ACTIVE,USSD,2024-11-02,2024-12-23T00:47:05.659Z,2024-11-02T00:19:32.114Z,2024-12-23T00:47:05.659Z
3313,7004799882,Penda,Sissoko,Penda Sissoko,F,1970-11-15,PEUL,+22232773728,,4,Dakhlet Nouadhibou,10,,ACTIVE,,ACTIVE,ANDROID,2023-05-10,2023-12-29T05:10:55.113Z,2023-05-10T23:33:30.186Z,2023-12-29T05:10:55.113Z
5400,8603799866,Kani,Faye,Kani Faye,F,1986-02-10,WOLOF,+22224517300,,3,Nouakchott-Sud,9,,DORMANT,,ACTIVE,ANDROID,2023-10-25,2024-11-29T14:54:09.936Z,2023-10-25T09:01:32.991Z,2024-11-29T14:54:09.936Z
7356,9205786467,Abdel Rahman,Dramé,Abdel Rahman Dramé,M,1992-07-20,SONINKE,+22242961156,abdelrahman.dramé33@outlook.com,5,Trarza,11,,VIP,,PENDING_KYC,IOS,2022-10-19,2023-10-31T08:07:47.056Z,2022-10-19T00:24:34.019Z,2023-10-31T08:07:47.056Z
6726,7402769544,Mounina,Mint El Ghassem,Mounina Mint El Ghassem,F,1974-07-16,MAURE,+22243118651,mounina.mintelghassem28@outlook.com,2,Nouakchott-Ouest,4,,DORMANT,,ACTIVE,ANDROID,2024-12-18,2024-12-23T09:09:32.816Z,2024-12-18T11:13:38.459Z,2024-12-23T09:09:32.816Z
4358,9805301635,Yahya,Ould Salem,Yahya Ould Salem,M,1998-01-03,MAURE,+22236732641,yahya.ouldsalem960@yahoo.fr,5,Trarza,16,,OCCASIONAL,,ACTIVE,USSD,2022-06-28,2024-07-17T15:43:56.259Z,2022-06-28T03:26:27.909Z,2024-07-17T15:43:56.259Z
5154,0103184502,Mahjouba,Diallo,Mahjouba Diallo,F,2001-03-07,PEUL,+22222485817,mahjouba.diallo816@outlook.com,3,Nouakchott-Sud,8,,STANDARD,,ACTIVE,ANDROID,2023-03-20,2024-08-03T12:57:56.849Z,2023-03-20T07:37:52.513Z,2024-08-03T12:57:56.849Z
751,9801717430,Mariam,Mint Ethmane,Mariam Mint Ethmane,F,1998-01-13,MAURE,+22224058734,,1,Nouakchott-Nord,3,,OCCASIONAL,,ACTIVE,ANDROID,2022-07-26,2024-07-15T20:03:24.663Z,2022-07-26T08:26:59.214Z,2024-07-15T20:03:24.663Z
1319,6505126522,Taleb,Ould Maloum,Taleb Ould Maloum,M,1965-01-21,MAURE,+22237286811,taleb.ouldmaloum668@yahoo.fr,5,Trarza,12,,STANDARD,,ACTIVE,ANDROID,2024-02-01,2024-04-02T02:33:40.228Z,2024-02-01T07:20:35.577Z,2024-04-02T02:33:40.228Z
6297,8909584610,Mounina,Camara,Mounina Camara,F,1989-04-14,SONINKE,+22236149813,mounina.camara152@yahoo.fr,9,Assaba,30,,STANDARD,,ACTIVE,USSD,2024-06-02,2024-09-23T11:17:24.324Z,2024-06-02T15:40:44.881Z,2024-09-23T11:17:24.324Z
5908,8702336425,Ely,Ould Moulaye,Ely Ould Moulaye,M,1987-05-15,MAURE,+22236910308,,2,Nouakchott-Ouest,6,,STANDARD,,ACTIVE,IOS,2022-06-10,2023-04-16T21:45:22.081Z,2022-06-10T01:37:14.467Z,2023-04-16T21:45:22.081Z
4113,8605402926,Mbareck,Diallo,Mbareck Diallo,M,1986-11-17,PEUL,+22223483253,mbareck.diallo432@yahoo.fr,5,Trarza,14,,STANDARD,,ACTIVE,WEB,2024-06-07,2024-09-28T19:46:43.128Z,2024-06-07T00:05:23.147Z,2024-09-28T19:46:43.128Z
2186,6001578737,Rokaya,Kouyaté,Rokaya Kouyaté,F,1960-02-05,WOLOF,+22246747451,,1,Nouakchott-Nord,1,,ACTIVE,,ACTIVE,USSD,2022-02-09,2024-07-11T01:20:38.926Z,2022-02-09T00:18:21.429Z,2024-07-11T01:20:38.926Z
2995,8102810235,Bakary,Thiam,Bakary Thiam,M,1981-04-03,SONINKE,+22233734187,bakary.thiam394@gmail.com,2,Nouakchott-Ouest,4,,ACTIVE,,ACTIVE,ANDROID,2024-12-21,2024-12-24T02:31:41.877Z,2024-12-21T04:56:17.707Z,2024-12-24T02:31:41.877Z
1374,7405275190,Salem,Ould Taleb,Salem Ould Taleb,M,1974-10-16,MAURE,+22235613995,salem.ouldtaleb620@yahoo.fr,5,Trarza,16,,STANDARD,,ACTIVE,ANDROID,2024-04-04,2024-09-26T14:47:18.647Z,2024-04-04T05:15:01.874Z,2024-09-26T14:47:18.647Z
7769,8504643741,Malouma,Cissé,Malouma Cissé,F,1985-11-02,PEUL,+22233314368,malouma.cissé414@outlook.com,4,Dakhlet Nouadhibou,10,,OCCASIONAL,,ACTIVE,ANDROID,2024-10-28,2024-11-29T17:11:46.826Z,2024-10-28T06:27:02.550Z,2024-11-29T17:11:46.826Z
556,7104507947,Bakary,Diagana,Bakary Diagana,M,1971-11-01,PEUL,+22222073835,,4,Dakhlet Nouadhibou,10,,DORMANT,,ACTIVE,ANDROID,2024-07-03,2024-10-03T15:20:15.149Z,2024-07-03T19:47:05.398Z,2024-10-03T15:20:15.149Z
6145,9302463771,Mahjouba,Fofana,Mahjouba Fofana,F,1993-11-08,PEUL,+22233443929,mahjouba.fofana211@hotmail.fr,2,Nouakchott-Ouest,5,,DORMANT,,ACTIVE,IOS,2024-08-08,2024-09-24T13:34:33.615Z,2024-08-08T15:35:11.524Z,2024-09-24T13:34:33.615Z
1350,6801316409,Abdel Rahman,Wane,Abdel Rahman Wane,M,1968-07-23,WOLOF,+22236317749,,1,Nouakchott-Nord,2,,ACTIVE,,PENDING_KYC,ANDROID,2022-08-15,2023-07-10T00:37:58.376Z,2022-08-15T07:41:03.573Z,2023-07-10T00:37:58.376Z
5922,6403969467,Mohamed Mahmoud,Ould Zein,Mohamed Mahmoud Ould Zein,M,1964-12-26,MAURE,+22243012040,mohamedmahmoud.ouldzein741@yahoo.fr,3,Nouakchott-Sud,8,,STANDARD,,ACTIVE,ANDROID,2022-03-03,2022-04-07T22:49:31.476Z,2022-03-03T16:20:08.996Z,2022-04-07T22:49:31.476Z
1788,6102083673,Mohamed Salem,Thiam,Mohamed Salem Thiam,M,1961-02-19,SONINKE,+22224676198,,2,Nouakchott-Ouest,6,,STANDARD,,ACTIVE,ANDROID,2024-06-11,2024-11-05T01:55:39.366Z,2024-06-11T03:16:20.995Z,2024-11-05T01:55:39.366Z
270,8715259434,Mariama,Mbow,Mariama Mbow,F,1987-06-20,PEUL,+22225145027,,15,Tiris Zemmour,54,,STANDARD,,ACTIVE,ANDROID,2024-12-04,2024-12-30T23:17:35.484Z,2024-12-04T07:25:33.651Z,2024-12-30T23:17:35.484Z
679,6714554945,Awa,Bâ,Awa Bâ,F,1967-06-21,PEUL,+22232977982,awa.bâ141@outlook.com,14,Inchiri,52,,STANDARD,,ACTIVE,WEB,2023-03-27,2023-04-08T18:44:07.582Z,2023-03-27T01:07:04.619Z,2023-04-08T18:44:07.582Z
2860,0402469229,Hamadi,Ould Abdallah,Hamadi Ould Abdallah,M,2004-03-13,MAURE,+22224905704,hamadi.ouldabdallah458@yahoo.fr,2,Nouakchott-Ouest,5,,STANDARD,,ACTIVE,ANDROID,2022-02-04,2022-12-23T10:33:44.553Z,2022-02-04T13:46:19.395Z,2022-12-23T10:33:44.553Z
4716,9301274983,Toumani,Dramé,Toumani Dramé,M,1993-05-24,WOLOF,+22237965867,toumani.dramé789@gmail.com,1,Nouakchott-Nord,1,,OCCASIONAL,,INACTIVE,ANDROID,2022-07-21,2022-10-15T00:44:18.465Z,2022-07-21T12:22:23.576Z,2022-10-15T00:44:18.465Z
2481,0415949967,Zeinab,Bah,Zeinab Bah,F,2004-05-21,PEUL,+22242774371,zeinab.bah369@outlook.com,15,Tiris Zemmour,55,,OCCASIONAL,,ACTIVE,ANDROID,2023-03-20,2024-09-11T13:27:54.856Z,2023-03-20T04:00:09.593Z,2024-09-11T13:27:54.856Z
7321,6202437475,Moulaye,Ould Nagi,Moulaye Ould Nagi,M,1962-12-03,MAURE,+22222400191,,2,Nouakchott-Ouest,6,,OCCASIONAL,,ACTIVE,ANDROID,2022-05-26,2024-04-24T17:21:24.566Z,2022-05-26T06:21:46.075Z,2024-04-24T17:21:24.566Z
1904,8206590134,Coumba,Barry,Coumba Barry,F,1982-04-03,PEUL,+22222187815,coumba.barry758@gmail.com,6,Brakna,17,,OCCASIONAL,,ACTIVE,ANDROID,2022-04-16,2024-10-17T17:42:51.705Z,2022-04-16T20:47:54.886Z,2024-10-17T17:42:51.705Z
960,9901330296,Ghalia,Sarr,Ghalia Sarr,F,1999-08-06,PEUL,+22237310345,ghalia.sarr373@yahoo.fr,1,Nouakchott-Nord,1,,VIP,,ACTIVE,ANDROID,2022-09-13,2024-08-21T20:01:24.320Z,2022-09-13T10:16:15.973Z,2024-08-21T20:01:24.320Z
5965,6504542073,Pape,Ndiaye,Pape Ndiaye,M,1965-06-06,PEUL,+22225164332,,4,Dakhlet Nouadhibou,10,,OCCASIONAL,,ACTIVE,ANDROID,2023-09-03,2024-11-29T20:45:49.846Z,2023-09-03T08:28:57.579Z,2024-11-29T20:45:49.846Z
6827,0214328909,Abdellahi,Ould Ahmed,Abdellahi Ould Ahmed,M,2002-12-18,MAURE,+22224131213,,14,Inchiri,52,,OCCASIONAL,,ACTIVE,ANDROID,2024-07-28,2024-12-26T05:29:23.385Z,2024-07-28T19:12:55.814Z,2024-12-26T05:29:23.385Z
5487,9103525814,Jiddou,Diop,Jiddou Diop,M,1991-01-28,PEUL,+22237477483,jiddou.diop759@hotmail.fr,3,Nouakchott-Sud,7,,OCCASIONAL,,ACTIVE,USSD,2022-04-23,2023-02-23T14:29:26.185Z,2022-04-23T03:21:54.171Z,2023-02-23T14:29:26.185Z
2143,9105702969,Aziza,Mint Abdallah,Aziza Mint Abdallah,F,1991-11-17,MAURE,+22237684977,aziza.mintabdallah676@hotmail.fr,5,Trarza,16,,OCCASIONAL,,ACTIVE,WEB,2022-02-08,2022-08-28T11:16:23.642Z,2022-02-08T14:26:26.526Z,2022-08-28T11:16:23.642Z
7204,9801248776,Bilal,Sène,Bilal Sène,M,1998-05-27,SONINKE,+22222331146,,1,Nouakchott-Nord,1,,OCCASIONAL,,ACTIVE,USSD,2022-06-18,2024-09-19T11:57:05.932Z,2022-06-18T13:11:51.371Z,2024-09-19T11:57:05.932Z
7126,9504835385,Ahmedou,Yatabaré,Ahmedou Yatabaré,M,1995-01-11,WOLOF,+22223457774,,4,Dakhlet Nouadhibou,10,,STANDARD,,ACTIVE,ANDROID,2024-05-24,2024-10-11T01:15:39.752Z,2024-05-24T09:26:57.857Z,2024-10-11T01:15:39.752Z
9398,7612438887,Kalilou,Ndiaye,Kalilou Ndiaye,M,1976-12-04,PEUL,+22244049991,,12,Adrar,48,,STANDARD,,ACTIVE,API,2024-10-31,2024-11-10T04:28:07.359Z,2024-10-31T06:09:16.904Z,2024-11-10T04:28:07.359Z
7590,0302670783,Tekber,Mint Horma,Tekber Mint Horma,F,2003-09-04,MAURE,+22237774462,,2,Nouakchott-Ouest,5,,PREMIUM,,ACTIVE,IOS,2024-01-01,2024-07-04T01:20:41.669Z,2024-01-01T20:31:42.003Z,2024-07-04T01:20:41.669Z
4214,0101245171,Madou,Kouyaté,Madou Kouyaté,M,2001-06-09,PEUL,+22225659672,madou.kouyaté734@yahoo.fr,1,Nouakchott-Nord,1,,STANDARD,,INACTIVE,ANDROID,2023-08-29,2024-06-12T06:26:17.829Z,2023-08-29T23:24:25.525Z,2024-06-12T06:26:17.829Z
