id,user_id,account_number,account_type,account_type_label,currency,balance,available_balance,daily_limit,monthly_limit,status,is_primary,opened_date,last_activity,created_at,updated_at
82,79,NW963366508,WALLET,,MRU,334000,334000,500000,15000000,ACTIVE,false,2023-08-01,2023-08-28T05:11:00.904Z,2023-08-01T17:08:28.861Z,2023-08-28T05:11:00.904Z
98,90,NW135187983,WALLET,,MRU,500,11000,500000,15000000,ACTIVE,true,2023-07-01,2024-04-16T08:06:47.434Z,2023-07-01T07:40:34.245Z,2024-04-16T08:06:47.434Z
114,104,NW874380022,WALLET,,MRU,146,32000,500000,15000000,ACTIVE,true,2022-06-25,2023-12-20T10:36:27.194Z,2022-06-25T07:11:22.079Z,2023-12-20T10:36:27.194Z
136,125,NW887092143,WALLET,,MRU,28560,30000,500000,15000000,ACTIVE,true,2022-12-29,2023-10-15T07:11:39.477Z,2022-12-29T09:05:49.750Z,2023-10-15T07:11:39.477Z
142,131,NW561560869,WALLET,,MRU,936000,36000,500000,15000000,ACTIVE,true,2023-06-14,2023-12-08T09:48:43.688Z,2023-06-14T07:49:59.244Z,2023-12-08T09:48:43.688Z
161,147,NW165063738,WALLET,,MRU,882900,900,500000,15000000,ACTIVE,true,2023-06-14,2024-08-16T08:57:45.289Z,2023-06-14T02:10:19.622Z,2024-08-16T08:57:45.289Z
178,163,NW811539531,WALLET,,MRU,1683,29000,500000,15000000,ACTIVE,true,2024-02-13,2024-10-04T09:49:13.988Z,2024-02-13T13:01:14.965Z,2024-10-04T09:49:13.988Z
181,166,NW511818886,WALLET,,MRU,150,3700,500000,15000000,ACTIVE,true,2024-07-21,2024-12-30T21:50:11.072Z,2024-07-21T10:58:20.790Z,2024-12-30T21:50:11.072Z
190,174,NA599043369,AGENT,,MRU,38000,38000,500000,15000000,ACTIVE,true,2022-07-10,2024-07-10T15:51:03.620Z,2022-07-10T01:31:17.777Z,2024-07-10T15:51:03.620Z
201,185,NW450399756,WALLET,,MRU,38000,38000,500000,15000000,ACTIVE,true,2022-10-29,2023-12-06T02:02:51.517Z,2022-10-29T02:40:38.926Z,2023-12-06T02:02:51.517Z
213,196,NC325346946,CORPORATE,,MRU,0,44000,500000,15000000,ACTIVE,true,2023-10-05,2024-08-23T19:16:55.344Z,2023-10-05T21:52:20.007Z,2024-08-23T19:16:55.344Z
220,203,NW530397653,WALLET,,MRU,12000,12000,500000,15000000,ACTIVE,true,2023-10-03,2024-11-15T05:57:59.746Z,2023-10-03T00:10:59.973Z,2024-11-15T05:57:59.746Z
247,230,NW698170662,WALLET,,MRU,20000,20000,500000,15000000,ACTIVE,true,2023-09-22,2024-01-01T10:33:01.174Z,2023-09-22T04:02:58.582Z,2024-01-01T10:33:01.174Z
253,236,NC250413894,CORPORATE,,MRU,25,4600,500000,15000000,ACTIVE,true,2024-03-06,2024-05-08T15:33:11.752Z,2024-03-06T11:23:58.602Z,2024-05-08T15:33:11.752Z
256,239,NW560132175,WALLET,,MRU,966310,7900,500000,15000000,ACTIVE,true,2024-04-03,2024-05-05T15:46:35.802Z,2024-04-03T05:46:20.580Z,2024-05-05T15:46:35.802Z
269,252,NM968712687,MERCHANT,,MRU,2594750,24000,500000,15000000,ACTIVE,true,2024-04-30,2024-06-22T16:03:33.198Z,2024-04-30T06:12:49.232Z,2024-06-22T16:03:33.198Z
280,263,NS152303695,SAVINGS,,MRU,12410,8400,500000,15000000,ACTIVE,true,2024-01-23,2024-02-13T11:32:46.524Z,2024-01-23T21:10:22.563Z,2024-02-13T11:32:46.524Z
291,270,NM023277521,MERCHANT,,MRU,925100,41000,500000,15000000,ACTIVE,true,2024-12-04,2024-12-04T17:18:29.046Z,2024-12-04T07:25:33.651Z,2024-12-04T17:18:29.046Z
296,273,NS401523590,SAVINGS,,MRU,35000,35000,500000,15000000,ACTIVE,true,2023-05-26,2024-09-01T17:39:39.320Z,2023-05-26T15:52:38.778Z,2024-09-01T17:39:39.320Z
299,275,NS580564260,SAVINGS,,MRU,36000,36000,500000,15000000,ACTIVE,true,2022-11-11,2023-02-20T03:18:51.951Z,2022-11-11T08:01:02.200Z,2023-02-20T03:18:51.951Z
317,289,NA854208469,AGENT,,MRU,49200,9600,500000,15000000,ACTIVE,true,2022-10-05,2022-12-09T07:59:57.707Z,2022-10-05T12:44:42.975Z,2022-12-09T07:59:57.707Z
322,294,NM322059989,MERCHANT,,MRU,4820,17000,500000,15000000,ACTIVE,true,2024-01-25,2024-03-22T04:04:10.049Z,2024-01-25T08:40:49.143Z,2024-03-22T04:04:10.049Z
378,345,NM990112305,MERCHANT,,MRU,9100,10000,500000,15000000,ACTIVE,true,2023-04-17,2024-06-12T06:56:06.539Z,2023-04-17T15:55:12.044Z,2024-06-12T06:56:06.539Z
379,346,NM075483322,MERCHANT,,MRU,3820,16000,500000,15000000,ACTIVE,true,2023-01-18,2024-05-09T20:39:17.775Z,2023-01-18T03:08:40.308Z,2024-05-09T20:39:17.775Z
392,359,NA638630867,AGENT,,MRU,128600,8600,500000,15000000,ACTIVE,true,2022-05-01,2022-05-22T17:49:12.044Z,2022-05-01T04:06:48.141Z,2022-05-22T17:49:12.044Z
395,362,NW605568051,WALLET,,MRU,450,6900,500000,15000000,ACTIVE,true,2024-12-28,2024-12-29T09:12:59.250Z,2024-12-28T23:14:18.420Z,2024-12-29T09:12:59.250Z
407,372,NW728792548,WALLET,,MRU,43000,43000,500000,15000000,ACTIVE,true,2024-11-29,2024-12-03T17:05:59.218Z,2024-11-29T10:54:53.522Z,2024-12-03T17:05:59.218Z
430,393,NW557064652,WALLET,,MRU,20000,20000,500000,15000000,ACTIVE,true,2024-01-10,2024-03-24T21:22:51.692Z,2024-01-10T02:00:54.178Z,2024-03-24T21:22:51.692Z
445,406,NS179009437,SAVINGS,,MRU,325,22000,500000,15000000,ACTIVE,true,2022-11-24,2024-09-07T11:59:21.805Z,2022-11-24T18:35:34.086Z,2024-09-07T11:59:21.805Z
464,422,NS834509849,SAVINGS,,MRU,82700,12000,500000,15000000,ACTIVE,true,2023-12-24,2024-03-27T14:22:10.387Z,2023-12-24T16:47:45.593Z,2024-03-27T14:22:10.387Z
467,425,NW390497591,WALLET,,MRU,5300,5300,500000,15000000,ACTIVE,true,2023-12-21,2024-11-11T13:44:01.737Z,2023-12-21T14:27:37.591Z,2024-11-11T13:44:01.737Z
469,427,NW914600372,WALLET,,MRU,5600,5600,500000,15000000,FROZEN,true,2022-11-01,2022-11-17T21:59:12.836Z,2022-11-01T17:56:17.765Z,2022-11-17T21:59:12.836Z
470,428,NA977304697,AGENT,,MRU,1700,1700,500000,15000000,ACTIVE,true,2022-04-22,2024-10-12T11:21:12.356Z,2022-04-22T15:58:04.253Z,2024-10-12T11:21:12.356Z
478,436,NW236584305,WALLET,,MRU,15149,1600,500000,15000000,ACTIVE,true,2024-11-13,2024-11-29T05:11:38.273Z,2024-11-13T13:27:28.760Z,2024-11-29T05:11:38.273Z
489,447,NS902892828,SAVINGS,,MRU,92000,15000,500000,15000000,ACTIVE,true,2023-08-01,2023-12-02T15:36:54.992Z,2023-08-01T18:27:03.129Z,2023-12-02T15:36:54.992Z
499,457,NW316421210,WALLET,,MRU,1200,1200,500000,15000000,FROZEN,true,2023-05-06,2024-06-12T06:47:04.289Z,2023-05-06T00:26:26.634Z,2024-06-12T06:47:04.289Z
500,458,NS560172319,SAVINGS,,MRU,6575,41000,500000,15000000,ACTIVE,true,2024-01-28,2024-05-24T08:25:00.067Z,2024-01-28T11:20:27.253Z,2024-05-24T08:25:00.067Z
534,492,NW095738917,WALLET,,MRU,360,365000,500000,15000000,ACTIVE,true,2024-07-08,2024-11-27T17:08:13.320Z,2024-07-08T14:13:56.045Z,2024-11-27T17:08:13.320Z
535,492,NW162491679,WALLET,,MRU,218000,138000,500000,15000000,ACTIVE,false,2024-07-08,2024-08-11T08:22:20.559Z,2024-07-08T14:13:56.045Z,2024-08-11T08:22:20.559Z
536,492,NW837529182,WALLET,,MRU,347000,347000,500000,15000000,DORMANT,false,2024-07-08,2024-10-21T23:39:49.001Z,2024-07-08T14:13:56.045Z,2024-10-21T23:39:49.001Z
541,497,NW054097205,WALLET,,MRU,62100,30000,500000,15000000,ACTIVE,true,2022-03-01,2022-07-05T10:35:27.861Z,2022-03-01T06:11:40.584Z,2022-07-05T10:35:27.861Z
544,500,NW549590826,WALLET,,MRU,31000,31000,500000,15000000,ACTIVE,true,2024-12-08,2024-12-18T17:29:45.100Z,2024-12-08T08:09:06.609Z,2024-12-18T17:29:45.100Z
545,501,NW924149632,WALLET,,MRU,9400,9400,500000,15000000,ACTIVE,true,2024-04-16,2024-10-30T08:56:08.591Z,2024-04-16T00:11:47.951Z,2024-10-30T08:56:08.591Z
552,508,NW857409984,WALLET,,MRU,402000,400000,500000,15000000,ACTIVE,true,2023-07-09,2023-11-11T03:06:53.015Z,2023-07-09T16:54:23.813Z,2023-11-11T03:06:53.015Z
553,508,NW919296503,WALLET,,MRU,388000,388000,500000,15000000,ACTIVE,false,2023-07-09,2024-05-22T22:04:45.333Z,2023-07-09T16:54:23.813Z,2024-05-22T22:04:45.333Z
557,512,NW889037728,WALLET,,MRU,154450,183000,500000,15000000,ACTIVE,true,2022-11-18,2024-11-10T17:17:07.108Z,2022-11-18T10:11:14.525Z,2024-11-10T17:17:07.108Z
558,512,NS129904866,SAVINGS,,MRU,169750,213000,500000,15000000,ACTIVE,false,2022-11-18,2022-11-25T20:09:23.761Z,2022-11-18T10:11:14.525Z,2022-11-25T20:09:23.761Z
567,519,NW655723989,WALLET,,MRU,144150,34000,500000,15000000,ACTIVE,true,2024-04-15,2024-06-22T23:42:25.215Z,2024-04-15T07:59:03.512Z,2024-06-22T23:42:25.215Z
570,521,NW316060334,WALLET,,MRU,2500,10000,500000,15000000,ACTIVE,true,2024-08-16,2024-12-09T08:23:16.370Z,2024-08-16T00:18:54.661Z,2024-12-09T08:23:16.370Z
574,525,NW985816985,WALLET,,MRU,786875,35000,500000,15000000,ACTIVE,true,2023-05-05,2024-08-06T12:08:12.705Z,2023-05-05T13:47:32.194Z,2024-08-06T12:08:12.705Z
582,533,NW894930839,WALLET,,MRU,241000,241000,500000,15000000,ACTIVE,true,2023-10-19,2024-12-27T17:10:23.081Z,2023-10-19T23:58:43.334Z,2024-12-27T17:10:23.081Z
583,533,NS072148323,SAVINGS,,MRU,908000,418000,500000,15000000,ACTIVE,false,2023-10-19,2024-02-05T06:20:19.387Z,2023-10-19T23:58:43.334Z,2024-02-05T06:20:19.387Z
584,533,NW247178942,WALLET,,MRU,267000,267000,500000,15000000,ACTIVE,false,2023-10-19,2024-11-10T00:08:24.137Z,2023-10-19T23:58:43.334Z,2024-11-10T00:08:24.137Z
607,556,NW599999189,WALLET,,MRU,105900,17000,500000,15000000,ACTIVE,true,2024-07-03,2024-07-14T20:48:35.661Z,2024-07-03T19:47:05.398Z,2024-07-14T20:48:35.661Z
613,562,NM125712871,MERCHANT,,MRU,50000,50000,500000,15000000,ACTIVE,true,2022-12-14,2024-05-04T10:37:40.306Z,2022-12-14T10:57:22.638Z,2024-05-04T10:37:40.306Z
617,566,NW456060916,WALLET,,MRU,120,12000,500000,15000000,ACTIVE,true,2023-09-04,2024-11-10T13:36:21.621Z,2023-09-04T13:15:33.048Z,2024-11-10T13:36:21.621Z
627,576,NM186317801,MERCHANT,,MRU,1363800,750,500000,15000000,ACTIVE,true,2024-11-02,2024-11-03T15:32:24.246Z,2024-11-02T00:19:32.114Z,2024-11-03T15:32:24.246Z
669,612,NM040052413,MERCHANT,,MRU,7000,12000,500000,15000000,ACTIVE,true,2024-05-30,2024-06-07T12:15:23.421Z,2024-05-30T06:19:22.539Z,2024-06-07T12:15:23.421Z
697,639,NW710849553,WALLET,,MRU,126400,47000,500000,15000000,ACTIVE,true,2022-07-01,2024-06-05T14:48:02.624Z,2022-07-01T02:48:01.666Z,2024-06-05T14:48:02.624Z
701,641,NW241427898,WALLET,,MRU,5100,5100,500000,15000000,ACTIVE,true,2022-06-04,2023-01-30T10:49:28.567Z,2022-06-04T02:46:58.383Z,2023-01-30T10:49:28.567Z
710,648,NW410546899,WALLET,,MRU,12650,17000,500000,15000000,ACTIVE,true,2023-12-18,2024-08-19T03:03:05.255Z,2023-12-18T06:27:16.133Z,2024-08-19T03:03:05.255Z
743,679,NW682582021,WALLET,,MRU,51100,40000,500000,15000000,ACTIVE,true,2023-03-27,2023-06-05T23:26:40.575Z,2023-03-27T01:07:04.619Z,2023-06-05T23:26:40.575Z
747,682,NW971687615,WALLET,,MRU,628500,12000,500000,15000000,ACTIVE,true,2022-02-18,2024-09-21T19:30:32.927Z,2022-02-18T02:31:21.139Z,2024-09-21T19:30:32.927Z
762,696,NW977294207,WALLET,,MRU,12000,12000,500000,15000000,ACTIVE,true,2024-01-25,2024-08-12T09:01:03.673Z,2024-01-25T01:41:50.141Z,2024-08-12T09:01:03.673Z
795,726,NW763102680,WALLET,,MRU,1502,6500,500000,15000000,ACTIVE,true,2023-06-05,2024-11-08T18:04:47.199Z,2023-06-05T08:09:43.032Z,2024-11-08T18:04:47.199Z
796,727,NW163846850,WALLET,,MRU,2106,22000,500000,15000000,ACTIVE,true,2023-11-17,2024-05-18T13:13:44.345Z,2023-11-17T07:19:28.142Z,2024-05-18T13:13:44.345Z
798,729,NS602752924,SAVINGS,,MRU,2400,2400,500000,15000000,ACTIVE,true,2023-05-27,2024-06-30T05:15:01.474Z,2023-05-27T04:35:48.077Z,2024-06-30T05:15:01.474Z
814,745,NW892898321,WALLET,,MRU,2000,4300,500000,15000000,ACTIVE,true,2023-09-05,2024-03-22T17:57:06.587Z,2023-09-05T12:04:20.555Z,2024-03-22T17:57:06.587Z
820,751,NW837520152,WALLET,,MRU,400,11000,500000,15000000,ACTIVE,true,2022-07-26,2024-05-31T11:45:49.931Z,2022-07-26T08:26:59.214Z,2024-05-31T11:45:49.931Z
826,756,NW600865960,WALLET,,MRU,469450,47000,500000,15000000,ACTIVE,true,2023-05-06,2024-01-07T23:48:29.777Z,2023-05-06T21:33:58.035Z,2024-01-07T23:48:29.777Z
878,800,NW798439026,WALLET,,MRU,4700,43000,500000,15000000,ACTIVE,true,2024-08-14,2024-11-10T02:44:45.337Z,2024-08-14T17:35:55.196Z,2024-11-10T02:44:45.337Z
883,803,NS630382061,SAVINGS,,MRU,2797500,9200,500000,15000000,ACTIVE,true,2024-08-17,2024-09-28T22:33:40.148Z,2024-08-17T18:37:23.291Z,2024-09-28T22:33:40.148Z
898,817,NW546473384,WALLET,,MRU,50,1500,500000,15000000,ACTIVE,true,2024-11-09,2024-12-19T05:40:10.211Z,2024-11-09T09:32:12.087Z,2024-12-19T05:40:10.211Z
911,830,NW112509012,WALLET,,MRU,2475,45000,500000,15000000,ACTIVE,true,2024-02-18,2024-08-17T13:58:30.034Z,2024-02-18T14:58:56.260Z,2024-08-17T13:58:30.034Z
923,840,NS014146208,SAVINGS,,MRU,1000,13000,500000,15000000,ACTIVE,true,2022-07-08,2023-07-07T14:43:18.655Z,2022-07-08T09:05:44.498Z,2023-07-07T14:43:18.655Z
960,873,NS274715066,SAVINGS,,MRU,158000,14000,500000,15000000,ACTIVE,true,2023-08-31,2024-02-28T11:01:57.828Z,2023-08-31T06:15:32.771Z,2024-02-28T11:01:57.828Z
961,874,NW210909992,WALLET,,MRU,14000,14000,500000,15000000,CLOSED,true,2023-01-20,2023-10-26T23:23:55.025Z,2023-01-20T20:20:24.300Z,2023-10-26T23:23:55.025Z
975,886,NC113351821,CORPORATE,,MRU,9700,9700,500000,15000000,ACTIVE,true,2024-06-30,2024-11-26T00:23:31.815Z,2024-06-30T08:29:07.782Z,2024-11-26T00:23:31.815Z
976,887,NW966250181,WALLET,,MRU,6000,6000,500000,15000000,ACTIVE,true,2023-08-11,2024-03-04T04:44:47.812Z,2023-08-11T09:11:57.916Z,2024-03-04T04:44:47.812Z
989,899,NA086933851,AGENT,,MRU,38000,38000,500000,15000000,ACTIVE,true,2022-10-22,2023-07-23T22:07:22.232Z,2022-10-22T13:15:11.764Z,2023-07-23T22:07:22.232Z
991,901,NS767761588,SAVINGS,,MRU,300,300,500000,15000000,CLOSED,true,2022-10-23,2024-02-26T23:23:27.657Z,2022-10-23T18:52:57.711Z,2024-02-26T23:23:27.657Z
1015,923,NW007724642,WALLET,,MRU,36000,36000,500000,15000000,ACTIVE,true,2023-05-28,2024-11-23T08:58:46.997Z,2023-05-28T14:09:19.647Z,2024-11-23T08:58:46.997Z
1026,931,NS932861924,SAVINGS,,MRU,40000,40000,500000,15000000,ACTIVE,true,2022-01-16,2024-07-22T16:26:04.533Z,2022-01-16T09:09:09.818Z,2024-07-22T16:26:04.533Z
1028,933,NA516580343,AGENT,,MRU,49000,49000,500000,15000000,ACTIVE,true,2024-04-12,2024-11-29T11:29:53.175Z,2024-04-12T04:14:23.161Z,2024-11-29T11:29:53.175Z
1046,947,NS920086265,SAVINGS,,MRU,43000,38000,500000,15000000,ACTIVE,true,2022-03-23,2023-07-10T22:20:00.234Z,2022-03-23T11:39:26.943Z,2023-07-10T22:20:00.234Z
1059,960,NW204385161,WALLET,,MRU,1114000,664000,500000,15000000,ACTIVE,true,2022-09-13,2024-03-17T10:21:07.898Z,2022-09-13T10:16:15.973Z,2024-03-17T10:21:07.898Z
1060,960,NW726467848,WALLET,,MRU,1049,62000,500000,15000000,ACTIVE,false,2022-09-13,2024-06-23T10:32:54.117Z,2022-09-13T10:16:15.973Z,2024-06-23T10:32:54.117Z
1061,961,NS861140251,SAVINGS,,MRU,9900,38000,500000,15000000,ACTIVE,true,2023-04-24,2024-12-25T00:16:18.462Z,2023-04-24T14:33:59.267Z,2024-12-25T00:16:18.462Z
1067,967,NW141864180,WALLET,,MRU,9100,9100,500000,15000000,DORMANT,true,2024-04-12,2024-08-09T23:34:36.850Z,2024-04-12T11:20:39.191Z,2024-08-09T23:34:36.850Z
1075,975,NW390653044,WALLET,,MRU,3425,17000,500000,15000000,ACTIVE,true,2023-12-03,2024-10-20T08:04:05.305Z,2023-12-03T20:21:25.058Z,2024-10-20T08:04:05.305Z
1085,985,NW210424214,WALLET,,MRU,32000,32000,500000,15000000,ACTIVE,true,2023-04-16,2024-12-20T04:37:35.706Z,2023-04-16T14:51:46.561Z,2024-12-20T04:37:35.706Z
1093,993,NA630057454,AGENT,,MRU,1425,1000,500000,15000000,ACTIVE,true,2022-01-30,2023-05-25T12:45:35.704Z,2022-01-30T04:20:08.428Z,2023-05-25T12:45:35.704Z
1115,1010,NW780415684,WALLET,,MRU,4400,37000,500000,15000000,ACTIVE,true,2023-02-17,2023-11-23T01:21:35.504Z,2023-02-17T16:44:11.965Z,2023-11-23T01:21:35.504Z
1116,1011,NW734502792,WALLET,,MRU,500500,588000,500000,15000000,ACTIVE,true,2023-07-28,2024-01-07T06:22:16.036Z,2023-07-28T23:38:12.045Z,2024-01-07T06:22:16.036Z
1117,1011,NW463771820,WALLET,,MRU,637000,637000,500000,15000000,ACTIVE,false,2023-07-28,2024-03-16T06:41:40.532Z,2023-07-28T23:38:12.045Z,2024-03-16T06:41:40.532Z
1134,1025,NW674114942,WALLET,,MRU,28000,28000,500000,15000000,CLOSED,true,2024-09-03,2024-12-03T15:13:18.705Z,2024-09-03T10:14:02.127Z,2024-12-03T15:13:18.705Z
1180,1067,NW386601478,WALLET,,MRU,20000,20000,500000,15000000,ACTIVE,true,2023-02-18,2024-05-13T23:52:39.745Z,2023-02-18T17:18:26.514Z,2024-05-13T23:52:39.745Z
1218,1103,NW048705816,WALLET,,MRU,75,350,500000,15000000,ACTIVE,true,2024-03-10,2024-10-17T07:51:48.706Z,2024-03-10T06:35:17.425Z,2024-10-17T07:51:48.706Z
1219,1104,NW604235291,WALLET,,MRU,38000,38000,500000,15000000,ACTIVE,true,2023-03-20,2024-09-25T08:29:26.359Z,2023-03-20T19:42:38.249Z,2024-09-25T08:29:26.359Z
1279,1159,NW591853261,WALLET,,MRU,19000,19000,500000,15000000,ACTIVE,true,2023-08-19,2023-10-05T13:01:52.711Z,2023-08-19T10:07:26.635Z,2023-10-05T13:01:52.711Z
1294,1170,NW487216115,WALLET,,MRU,9000,9000,500000,15000000,ACTIVE,true,2023-07-21,2024-07-14T04:39:31.225Z,2023-07-21T22:30:07.150Z,2024-07-14T04:39:31.225Z
1312,1188,NW678048402,WALLET,,MRU,1800,1800,500000,15000000,ACTIVE,true,2022-08-19,2023-07-08T06:48:59.923Z,2022-08-19T07:32:52.219Z,2023-07-08T06:48:59.923Z
1322,1198,NW631458670,WALLET,,MRU,27375,1500,500000,15000000,ACTIVE,true,2022-11-13,2024-02-11T05:23:44.306Z,2022-11-13T07:35:04.028Z,2024-02-11T05:23:44.306Z
1329,1205,NW493508160,WALLET,,MRU,13355,35000,500000,15000000,ACTIVE,true,2024-08-20,2024-10-03T00:42:38.981Z,2024-08-20T21:09:35.914Z,2024-10-03T00:42:38.981Z
1359,1230,NW860089064,WALLET,,MRU,4497,18000,500000,15000000,ACTIVE,true,2024-03-27,2024-12-29T01:25:21.407Z,2024-03-27T18:37:58.011Z,2024-12-29T01:25:21.407Z
1362,1233,NS274530768,SAVINGS,,MRU,29375,17000,500000,15000000,ACTIVE,true,2022-01-09,2023-10-12T14:58:57.666Z,2022-01-09T19:12:07.926Z,2023-10-12T14:58:57.666Z
1363,1234,NW152566220,WALLET,,MRU,20000,10000,500000,15000000,ACTIVE,true,2024-08-31,2024-12-26T18:59:51.377Z,2024-08-31T11:54:41.439Z,2024-12-26T18:59:51.377Z
1366,1237,NM618381500,MERCHANT,,MRU,459,43000,500000,15000000,ACTIVE,true,2022-04-11,2024-12-14T01:30:18.945Z,2022-04-11T11:40:11.997Z,2024-12-14T01:30:18.945Z
1380,1249,NM416359067,MERCHANT,,MRU,44000,44000,500000,15000000,ACTIVE,true,2024-07-21,2024-11-13T13:25:04.177Z,2024-07-21T15:22:57.609Z,2024-11-13T13:25:04.177Z
1397,1264,NW787093639,WALLET,,MRU,14000,17000,500000,15000000,ACTIVE,true,2023-07-23,2023-10-05T20:06:35.206Z,2023-07-23T08:14:01.837Z,2023-10-05T20:06:35.206Z
1415,1282,NS405891180,SAVINGS,,MRU,6200,6200,500000,15000000,CLOSED,true,2022-10-29,2023-01-04T19:30:29.134Z,2022-10-29T09:11:12.107Z,2023-01-04T19:30:29.134Z
1430,1295,NW065889477,WALLET,,MRU,175,6300,500000,15000000,ACTIVE,true,2022-02-01,2022-09-04T13:36:30.344Z,2022-02-01T09:03:39.734Z,2022-09-04T13:36:30.344Z
1449,1314,NM017469644,MERCHANT,,MRU,1750,49000,500000,15000000,ACTIVE,true,2023-05-03,2024-08-07T23:47:46.019Z,2023-05-03T07:34:04.292Z,2024-08-07T23:47:46.019Z
1453,1318,NC813468337,CORPORATE,,MRU,68550,32000,500000,15000000,ACTIVE,true,2024-08-18,2024-12-04T03:38:41.941Z,2024-08-18T15:42:08.340Z,2024-12-04T03:38:41.941Z
1454,1319,NW609527468,WALLET,,MRU,6000,6000,500000,15000000,FROZEN,true,2024-02-01,2024-02-10T07:32:43.027Z,2024-02-01T07:20:35.577Z,2024-02-10T07:32:43.027Z
1464,1328,NW629935145,WALLET,,MRU,14000,14000,500000,15000000,ACTIVE,true,2022-11-27,2024-02-20T14:08:59.121Z,2022-11-27T02:31:11.664Z,2024-02-20T14:08:59.121Z
1487,1348,NW597940683,WALLET,,MRU,500,7600,500000,15000000,ACTIVE,true,2023-12-16,2024-04-22T10:31:06.596Z,2023-12-16T19:46:26.985Z,2024-04-22T10:31:06.596Z
1489,1350,NW149699688,WALLET,,MRU,14000,8800,500000,15000000,ACTIVE,true,2022-08-15,2023-09-16T13:58:08.576Z,2022-08-15T07:41:03.573Z,2023-09-16T13:58:08.576Z
1494,1355,NS841980219,SAVINGS,,MRU,45128,11000,500000,15000000,ACTIVE,true,2022-10-05,2023-12-01T15:24:23.743Z,2022-10-05T03:24:36.900Z,2023-12-01T15:24:23.743Z
1502,1363,NW018981963,WALLET,,MRU,40000,40000,500000,15000000,CLOSED,true,2023-01-19,2023-11-03T17:03:53.773Z,2023-01-19T13:23:38.710Z,2023-11-03T17:03:53.773Z
1512,1373,NW586403012,WALLET,,MRU,28000,28000,500000,15000000,ACTIVE,true,2024-11-01,2024-11-22T15:31:44.220Z,2024-11-01T00:03:42.823Z,2024-11-22T15:31:44.220Z
1513,1374,NS037351250,SAVINGS,,MRU,422000,33000,500000,15000000,ACTIVE,true,2024-04-04,2024-09-18T14:54:56.747Z,2024-04-04T05:15:01.874Z,2024-09-18T14:54:56.747Z
1517,1378,NW942595061,WALLET,,MRU,168100,8100,500000,15000000,ACTIVE,true,2023-07-15,2024-02-20T00:48:22.308Z,2023-07-15T10:36:01.170Z,2024-02-20T00:48:22.308Z
1522,1383,NW439142763,WALLET,,MRU,9600,9600,500000,15000000,ACTIVE,true,2023-06-10,2024-01-28T19:58:12.421Z,2023-06-10T02:25:08.531Z,2024-01-28T19:58:12.421Z
1528,1388,NW198976874,WALLET,,MRU,50,13000,500000,15000000,ACTIVE,true,2023-06-08,2024-07-12T12:00:59.671Z,2023-06-08T14:49:54.358Z,2024-07-12T12:00:59.671Z
1529,1389,NW026203870,WALLET,,MRU,208000,143000,500000,15000000,ACTIVE,true,2024-11-19,2024-11-21T05:52:28.055Z,2024-11-19T13:23:32.197Z,2024-11-21T05:52:28.055Z
1530,1389,NS808181286,SAVINGS,,MRU,1764000,1806000,500000,15000000,ACTIVE,false,2024-11-19,2024-12-25T09:17:34.181Z,2024-11-19T13:23:32.197Z,2024-12-25T09:17:34.181Z
