id,code,mcc,name,category_code,category_label,owner_first_name,owner_last_name,owner_full_name,owner_gender,owner_ethnicity,phone,email,wilaya_id,wilaya_name,moughataa_id,moughataa_name,address,latitude,longitude,commission_rate,avg_transaction_min,avg_transaction_max,status,registration_date,created_at
428,MRC191514,5211,undefined El Khair Nouakchott-Nord,BTP,,Brahim,Ould Mokhtar,Brahim Ould Mokhtar,M,MAURE,+22222741325,undefinedelkhai@nafadpay.mr,1,Nouakchott-Nord,1,,158 Avenue du Commerce,NaN,NaN,0.0142,5000,500000,ACTIVE,2023-08-20,2023-08-20T18:36:07.256Z
45,MRC223380,4121,undefined Capital Tiris Zemmour,TRN,,Moustapha,Ould El Ghassem,Moustapha Ould El Ghassem,M,MAURE,+22233584541,undefinedcapita@nafadpay.mr,15,Tiris Zemmour,53,,189 Avenue Nasser,NaN,NaN,0.0289,200,3000,INACTIVE,2022-06-26,2022-06-26T23:44:41.537Z
44,MRC693782,5411,undefined Plus Trarza,ALM,,Brahim,Ould Jiddou,Brahim Ould Jiddou,M,MAURE,+22233364411,undefinedplustr@nafadpay.mr,5,Trarza,12,,94 Avenue Principale,NaN,NaN,0.018,200,5000,ACTIVE,2024-12-30,2024-12-30T17:20:30.225Z
376,MRC453004,5411,undefined El Baraka Dakhlet Nouadhibou,ALM,,Mohamed Salem,Thiam,Mohamed Salem Thiam,M,PEUL,+22249741322,undefinedelbara@nafadpay.mr,4,Dakhlet Nouadhibou,10,,118 Avenue de la Paix,NaN,NaN,0.0212,200,5000,ACTIVE,2024-03-13,2024-03-13T07:19:27.945Z
413,MRC963758,4812,undefined de Nouakchott Assaba,TEL,,Aïda,Diallo,Aïda Diallo,F,PEUL,+22223741324,undefineddenoua@nafadpay.mr,9,Assaba,30,,147 Avenue Nasser,NaN,NaN,0.0216,500,10000,ACTIVE,2023-01-18,2023-01-18T19:55:39.266Z
378,MRC501814,5732,undefined Al Madina Nouakchott-Ouest,ELC,,Hawa,Dramé,Hawa Dramé,F,PEUL,+22246741322,undefinedalmadi@nafadpay.mr,2,Nouakchott-Ouest,5,,29 Avenue Principale,NaN,NaN,0.0136,5000,200000,ACTIVE,2021-08-07,2021-08-07T09:26:01.111Z
199,MRC781100,4812,undefined de Nouakchott Nouakchott-Sud,TEL,,Naima,Mint Tourad,Naima Mint Tourad,F,MAURE,+22241614094,undefineddenoua@nafadpay.mr,3,Nouakchott-Sud,7,,195 Avenue du Commerce,NaN,NaN,0.0056,500,10000,ACTIVE,2024-10-07,2024-10-07T18:13:56.842Z
34,MRC389878,5732,undefined de la Corniche Dakhlet Nouadhibou,ELC,,Toumani,Tall,Toumani Tall,M,SONINKE,+22224052299,undefineddelaco@nafadpay.mr,4,Dakhlet Nouadhibou,10,,120 Avenue Principale,NaN,NaN,0.0252,5000,200000,ACTIVE,2021-01-25,2021-01-25T21:41:34.800Z
458,MRC700888,5411,undefined Ksar Dakhlet Nouadhibou,ALM,,Zein,Ould Taleb,Zein Ould Taleb,M,MAURE,+22223741327,undefinedksarda@nafadpay.mr,4,Dakhlet Nouadhibou,10,,144 Avenue de la Paix,NaN,NaN,0.0119,200,5000,ACTIVE,2023-03-11,2023-03-11T08:43:19.726Z
181,MRC652807,5999,undefined de la Corniche Nouakchott-Ouest,AUT,,Bakary,Thiam,Bakary Thiam,M,WOLOF,+22223746802,undefineddelaco@nafadpay.mr,2,Nouakchott-Ouest,5,,135 Avenue Nasser,NaN,NaN,0.0063,500,50000,INACTIVE,2022-06-28,2022-06-28T18:57:39.891Z
470,MRC408734,8211,undefined du Marché Nouakchott-Nord,EDU,,Horma,Ould Mahmoud,Horma Ould Mahmoud,M,MAURE,+22224741327,undefineddumarc@nafadpay.mr,1,Nouakchott-Nord,1,,12 Avenue Gamal,NaN,NaN,0.0182,10000,100000,ACTIVE,2023-10-03,2023-10-03T03:35:01.834Z
80,MRC041977,4121,undefined de la Paix Nouakchott-Ouest,TRN,,Kalilou,Kouyaté,Kalilou Kouyaté,M,PEUL,+22222333036,undefineddelapa@nafadpay.mr,2,Nouakchott-Ouest,4,,137 Avenue Nasser,NaN,NaN,0.0288,200,3000,INACTIVE,2023-06-07,2023-06-07T20:28:39.437Z
437,MRC172357,5411,undefined El Wafa Nouakchott-Ouest,ALM,,Aichetou,Faye,Aichetou Faye,F,PEUL,+22242741325,undefinedelwafa@nafadpay.mr,2,Nouakchott-Ouest,6,,162 Avenue de la Paix,NaN,NaN,0.018,200,5000,ACTIVE,2021-02-05,2021-02-05T02:55:59.854Z
489,MRC722308,4812,undefined El Mouna Nouakchott-Nord,TEL,,Koumba,Faye,Koumba Faye,F,SONINKE,+22237741328,undefinedelmoun@nafadpay.mr,1,Nouakchott-Nord,2,,198 Avenue du Commerce,NaN,NaN,0.0278,500,10000,ACTIVE,2022-08-05,2022-08-05T16:04:04.400Z
154,MRC295821,5812,undefined Al Madina Gorgol,RST,,Khadijetou,Mint El Ghassem,Khadijetou Mint El Ghassem,F,MAURE,+22243741315,undefinedalmadi@nafadpay.mr,7,Gorgol,22,,5 Avenue de la Paix,NaN,NaN,0.0078,300,5000,ACTIVE,2024-10-17,2024-10-17T08:17:39.247Z
439,MRC691210,5411,undefined Central Nouakchott-Ouest,ALM,,Abdel Kader,Ould Ahmedou,Abdel Kader Ould Ahmedou,M,MAURE,+22235741326,undefinedcentra@nafadpay.mr,2,Nouakchott-Ouest,6,,186 Avenue de la Paix,NaN,NaN,0.0196,200,5000,ACTIVE,2022-05-22,2022-05-22T06:50:51.198Z
42,MRC237905,5812,undefined El Khair Nouakchott-Nord,RST,,Saad,Baldé,Saad Baldé,M,PEUL,+22233346770,undefinedelkhai@nafadpay.mr,1,Nouakchott-Nord,3,,161 Avenue Principale,NaN,NaN,0.0153,300,5000,ACTIVE,2024-09-18,2024-09-18T12:27:02.130Z
310,MRC717300,5651,undefined du Sahel Nouakchott-Nord,HAB,,Cheibany,Diakité,Cheibany Diakité,M,WOLOF,+22243741319,undefineddusahe@nafadpay.mr,1,Nouakchott-Nord,3,,117 Avenue Gamal,NaN,NaN,0.0211,2000,30000,ACTIVE,2024-06-08,2024-06-08T21:16:58.029Z
410,MRC435858,4121,undefined El Wafa Nouakchott-Ouest,TRN,,Horma,Ould El Hacen,Horma Ould El Hacen,M,MAURE,+22241741324,undefinedelwafa@nafadpay.mr,2,Nouakchott-Ouest,6,,67 Avenue Principale,NaN,NaN,0.0164,200,3000,ACTIVE,2022-08-17,2022-08-17T10:25:21.726Z
180,MRC329106,5411,undefined El Mouna Nouakchott-Nord,ALM,,Cheikh Sidiya,Ndour,Cheikh Sidiya Ndour,M,SONINKE,+22225872489,undefinedelmoun@nafadpay.mr,1,Nouakchott-Nord,2,,80 Avenue Gamal,NaN,NaN,0.0153,200,5000,ACTIVE,2023-09-27,2023-09-27T16:01:49.656Z
493,MRC192030,5411,undefined Al Madina Nouakchott-Sud,ALM,,Mahjouba,Mint Taleb,Mahjouba Mint Taleb,F,MAURE,+22242741328,undefinedalmadi@nafadpay.mr,3,Nouakchott-Sud,9,,36 Avenue Gamal,NaN,NaN,0.0087,200,5000,ACTIVE,2023-08-14,2023-08-14T23:55:51.115Z
95,MRC215527,5651,undefined Al Amane Dakhlet Nouadhibou,HAB,,Samba,Kouyaté,Samba Kouyaté,M,WOLOF,+22237765414,undefinedalaman@nafadpay.mr,4,Dakhlet Nouadhibou,10,,31 Avenue de la Paix,NaN,NaN,0.0109,2000,30000,ACTIVE,2021-05-16,2021-05-16T18:50:19.913Z
454,MRC942891,5812,undefined de la Corniche Nouakchott-Ouest,RST,,Hawa,Mint Lemrabott,Hawa Mint Lemrabott,F,MAURE,+22244741326,undefineddelaco@nafadpay.mr,2,Nouakchott-Ouest,4,,25 Avenue du Commerce,NaN,NaN,0.0259,300,5000,INACTIVE,2022-03-28,2022-03-28T05:29:12.049Z
389,MRC260014,5411,undefined du Progrès Nouakchott-Ouest,ALM,,Maloum,Yatabaré,Maloum Yatabaré,M,PEUL,+22236741323,undefinedduprog@nafadpay.mr,2,Nouakchott-Ouest,5,,135 Avenue Nasser,NaN,NaN,0.0267,200,5000,INACTIVE,2021-06-22,2021-06-22T23:38:32.917Z
241,MRC325015,5651,undefined Teyarett Dakhlet Nouadhibou,HAB,,Boubacar,Ould Mahmoud,Boubacar Ould Mahmoud,M,MAURE,+22246844797,undefinedteyare@nafadpay.mr,4,Dakhlet Nouadhibou,10,,83 Avenue du Commerce,NaN,NaN,0.025,2000,30000,ACTIVE,2022-07-24,2022-07-24T05:19:49.855Z
219,MRC110353,5999,undefined Central Nouakchott-Nord,AUT,,Thierno,Sow,Thierno Sow,M,PEUL,+22222741317,undefinedcentra@nafadpay.mr,1,Nouakchott-Nord,3,,169 Avenue Gamal,NaN,NaN,0.0251,500,50000,ACTIVE,2024-03-05,2024-03-05T01:32:16.826Z
260,MRC428147,5651,undefined Ksar Dakhlet Nouadhibou,HAB,,Modibo,Kane,Modibo Kane,M,SONINKE,+22237717273,undefinedksarda@nafadpay.mr,4,Dakhlet Nouadhibou,10,,126 Avenue Principale,NaN,NaN,0.0284,2000,30000,ACTIVE,2022-10-31,2022-10-31T15:43:14.681Z
164,MRC974525,5411,undefined Teyarett Trarza,ALM,,Zahra,Mint Abeih,Zahra Mint Abeih,F,MAURE,+22222289194,undefinedteyare@nafadpay.mr,5,Trarza,12,,178 Avenue du Commerce,NaN,NaN,0.0058,200,5000,ACTIVE,2024-06-26,2024-06-26T19:53:50.162Z
398,MRC730065,5812,undefined Center Dakhlet Nouadhibou,RST,,Salem,Ould Tourad,Salem Ould Tourad,M,MAURE,+22248741323,undefinedcenter@nafadpay.mr,4,Dakhlet Nouadhibou,10,,144 Avenue Gamal,NaN,NaN,0.0128,300,5000,ACTIVE,2022-03-08,2022-03-08T00:05:33.432Z
251,MRC826940,5411,undefined de Nouakchott Assaba,ALM,,Soumaïla,Touré,Soumaïla Touré,M,WOLOF,+22233170878,undefineddenoua@nafadpay.mr,9,Assaba,32,,174 Avenue du Commerce,NaN,NaN,0.0214,200,5000,ACTIVE,2022-02-24,2022-02-24T15:44:35.235Z
250,MRC828658,5411,undefined Center Tagant,ALM,,Mohamed Vall,Sissoko,Mohamed Vall Sissoko,M,SONINKE,+22223740344,undefinedcenter@nafadpay.mr,13,Tagant,50,,31 Avenue de la Paix,NaN,NaN,0.0153,200,5000,ACTIVE,2024-01-13,2024-01-13T20:00:22.882Z
104,MRC988739,5411,undefined du Marché Gorgol,ALM,,Mahfoudh,Ba,Mahfoudh Ba,M,WOLOF,+22223994933,undefineddumarc@nafadpay.mr,7,Gorgol,22,,191 Avenue du Commerce,NaN,NaN,0.0124,200,5000,ACTIVE,2024-08-03,2024-08-03T05:43:40.841Z
446,MRC933654,4121,undefined El Mouna Nouakchott-Ouest,TRN,,Sidi Mohamed,Ould Nagi,Sidi Mohamed Ould Nagi,M,MAURE,+22242741326,undefinedelmoun@nafadpay.mr,2,Nouakchott-Ouest,5,,164 Avenue Gamal,NaN,NaN,0.0122,200,3000,ACTIVE,2023-03-16,2023-03-16T17:14:56.740Z
232,MRC609199,5812,undefined Plus Nouakchott-Ouest,RST,,Banna,Diallo,Banna Diallo,F,WOLOF,+22223741318,undefinedplusno@nafadpay.mr,2,Nouakchott-Ouest,6,,121 Avenue Gamal,NaN,NaN,0.0078,300,5000,ACTIVE,2024-09-30,2024-09-30T14:55:05.642Z
19,MRC201928,4121,undefined du Progrès Nouakchott-Sud,TRN,,Abdallah,Ould Taleb,Abdallah Ould Taleb,M,MAURE,+22232741314,undefinedduprog@nafadpay.mr,3,Nouakchott-Sud,9,,97 Avenue de la Paix,NaN,NaN,0.0148,200,3000,ACTIVE,2021-05-17,2021-05-17T04:13:00.123Z
136,MRC590270,5411,undefined El Mouna Nouakchott-Nord,ALM,,Fodié,Soumaré,Fodié Soumaré,M,PEUL,+22233741315,undefinedelmoun@nafadpay.mr,1,Nouakchott-Nord,1,,124 Avenue Principale,NaN,NaN,0.025,200,5000,ACTIVE,2021-07-01,2021-07-01T17:28:28.532Z
188,MRC202758,4812,undefined de Nouakchott Nouakchott-Ouest,TEL,,Gaoussou,Koita,Gaoussou Koita,M,SONINKE,+22245685246,undefineddenoua@nafadpay.mr,2,Nouakchott-Ouest,6,,36 Avenue de la Paix,NaN,NaN,0.026,500,10000,INACTIVE,2024-01-23,2024-01-23T11:55:52.028Z
142,MRC991219,5812,undefined El Mouna Nouakchott-Nord,RST,,Sambou,Baldé,Sambou Baldé,M,PEUL,+22241741315,undefinedelmoun@nafadpay.mr,1,Nouakchott-Nord,2,,198 Avenue Gamal,NaN,NaN,0.0277,300,5000,ACTIVE,2023-11-28,2023-11-28T13:38:19.783Z
295,MRC458557,5541,undefined Essalem Nouakchott-Nord,CRB,,Siaka,Thiam,Siaka Thiam,M,PEUL,+22235741319,undefinedessale@nafadpay.mr,1,Nouakchott-Nord,3,,149 Avenue Gamal,NaN,NaN,0.0161,1000,20000,ACTIVE,2023-02-19,2023-02-19T14:42:20.070Z
324,MRC280665,7299,undefined Central Gorgol,SRV,,Abdellahi,Ould Ahmed,Abdellahi Ould Ahmed,M,MAURE,+22225035628,undefinedcentra@nafadpay.mr,7,Gorgol,24,,188 Avenue Gamal,NaN,NaN,0.0274,1000,20000,ACTIVE,2024-05-05,2024-05-05T21:20:04.421Z
132,MRC558103,5812,undefined El Mouna Nouakchott-Nord,RST,,Jiddou,Koita,Jiddou Koita,M,PEUL,+22222315921,undefinedelmoun@nafadpay.mr,1,Nouakchott-Nord,1,,59 Avenue Principale,NaN,NaN,0.0212,300,5000,ACTIVE,2022-03-02,2022-03-02T21:36:39.493Z
336,MRC190368,5541,undefined Ksar Dakhlet Nouadhibou,CRB,,Salka,Mint Ahmedou,Salka Mint Ahmedou,F,MAURE,+22245741320,undefinedksarda@nafadpay.mr,4,Dakhlet Nouadhibou,10,,118 Avenue Principale,NaN,NaN,0.0236,1000,20000,ACTIVE,2024-10-02,2024-10-02T05:58:53.395Z
369,MRC633967,5411,undefined Al Amane Nouakchott-Ouest,ALM,,Cheikh Sidiya,Ould Nenni,Cheikh Sidiya Ould Nenni,M,MAURE,+22225741322,undefinedalaman@nafadpay.mr,2,Nouakchott-Ouest,4,,60 Avenue de la Paix,NaN,NaN,0.0286,200,5000,ACTIVE,2021-02-23,2021-02-23T09:05:56.093Z
143,MRC672816,4121,undefined de Nouakchott Trarza,TRN,,El Mokhtar,Sène,El Mokhtar Sène,M,WOLOF,+22222608941,undefineddenoua@nafadpay.mr,5,Trarza,11,,113 Avenue de la Paix,NaN,NaN,0.0058,200,3000,ACTIVE,2023-06-25,2023-06-25T10:13:04.322Z
395,MRC233456,5411,undefined Plus Guidimaka,ALM,,Maloum,Tall,Maloum Tall,M,PEUL,+22245741323,undefinedplusgu@nafadpay.mr,8,Guidimaka,27,,118 Avenue Principale,NaN,NaN,0.0236,200,5000,ACTIVE,2024-10-02,2024-10-02T05:58:53.395Z
484,MRC373370,5812,undefined Plus Nouakchott-Ouest,RST,,Maguette,Wade,Maguette Wade,F,PEUL,+22235741328,undefinedplusno@nafadpay.mr,2,Nouakchott-Ouest,6,,107 Avenue Principale,NaN,NaN,0.0072,300,5000,ACTIVE,2023-11-05,2023-11-05T16:43:07.019Z
253,MRC563727,5541,undefined de Nouakchott Nouakchott-Ouest,CRB,,Abdel Aziz,Gaye,Abdel Aziz Gaye,M,SONINKE,+22242030751,undefineddenoua@nafadpay.mr,2,Nouakchott-Ouest,4,,153 Avenue Principale,NaN,NaN,0.0084,1000,20000,ACTIVE,2021-08-14,2021-08-14T21:52:55.174Z
486,MRC371651,7299,undefined El Khair Nouakchott-Ouest,SRV,,Ahmedou,Ould El Hacen,Ahmedou Ould El Hacen,M,MAURE,+22224741328,undefinedelkhai@nafadpay.mr,2,Nouakchott-Ouest,5,,85 Avenue de la Paix,NaN,NaN,0.0144,1000,20000,ACTIVE,2021-12-13,2021-12-13T20:07:31.394Z
397,MRC498668,5541,undefined El Khair Dakhlet Nouadhibou,CRB,,Limam,Diagana,Limam Diagana,M,PEUL,+22233741323,undefinedelkhai@nafadpay.mr,4,Dakhlet Nouadhibou,10,,181 Avenue du Commerce,NaN,NaN,0.0102,1000,20000,ACTIVE,2022-03-29,2022-03-29T21:25:18.418Z
488,MRC821951,5411,undefined El Khair Nouakchott-Ouest,ALM,,Halima,Mint Nenni,Halima Mint Nenni,F,MAURE,+22232741328,undefinedelkhai@nafadpay.mr,2,Nouakchott-Ouest,4,,117 Avenue Gamal,NaN,NaN,0.0216,200,5000,ACTIVE,2024-11-28,2024-11-28T05:38:58.675Z
326,MRC830144,5411,undefined Al Amane Nouakchott-Nord,ALM,,Souleymane,Bah,Souleymane Bah,M,WOLOF,+22225741320,undefinedalaman@nafadpay.mr,1,Nouakchott-Nord,2,,74 Avenue Principale,NaN,NaN,0.0068,200,5000,ACTIVE,2024-10-12,2024-10-12T20:08:27.349Z
350,MRC729931,5912,undefined Ksar Nouakchott-Nord,SAN,,Moussa,Diarra,Moussa Diarra,M,WOLOF,+22249741321,undefinedksarno@nafadpay.mr,1,Nouakchott-Nord,1,,119 Avenue Gamal,NaN,NaN,0.0068,500,50000,ACTIVE,2024-04-26,2024-04-26T02:26:49.902Z
192,MRC289033,5411,undefined Ksar Nouakchott-Ouest,ALM,,Oumou,Diop,Oumou Diop,F,PEUL,+22242741316,undefinedksarno@nafadpay.mr,2,Nouakchott-Ouest,4,,61 Avenue de la Paix,NaN,NaN,0.0175,200,5000,ACTIVE,2024-10-22,2024-10-22T09:01:36.687Z
27,MRC843907,5411,undefined Express Trarza,ALM,,Abdallah,Diallo,Abdallah Diallo,M,SONINKE,+22244741315,undefinedexpres@nafadpay.mr,5,Trarza,15,,149 Avenue du Commerce,NaN,NaN,0.0246,200,5000,ACTIVE,2021-06-24,2021-06-24T14:38:53.434Z
126,MRC243895,5411,undefined du Progrès Nouakchott-Ouest,ALM,,Nouh,Ould Ghali,Nouh Ould Ghali,M,MAURE,+22222548032,undefinedduprog@nafadpay.mr,2,Nouakchott-Ouest,6,,89 Avenue du Commerce,NaN,NaN,0.0091,200,5000,INACTIVE,2022-04-26,2022-04-26T11:53:39.095Z
247,MRC421642,7011,undefined du Marché Nouakchott-Nord,HTL,,Hamoud,Kanouté,Hamoud Kanouté,M,PEUL,+22245447352,undefineddumarc@nafadpay.mr,1,Nouakchott-Nord,2,,119 Avenue Principale,NaN,NaN,0.0161,20000,200000,INACTIVE,2023-01-31,2023-01-31T08:32:36.942Z
288,MRC120408,5411,undefined Al Amane Hodh El Gharbi,ALM,,Mohamed Lemine,Sène,Mohamed Lemine Sène,M,PEUL,+22247741319,undefinedalaman@nafadpay.mr,11,Hodh El Gharbi,41,,136 Avenue Gamal,NaN,NaN,0.0224,200,5000,ACTIVE,2022-07-09,2022-07-09T06:54:12.672Z
420,MRC495942,5651,undefined de la Paix Tiris Zemmour,HAB,,Souleymane,Koné,Souleymane Koné,M,PEUL,+22235741325,undefineddelapa@nafadpay.mr,15,Tiris Zemmour,54,,174 Avenue du Commerce,NaN,NaN,0.0148,2000,30000,ACTIVE,2024-01-31,2024-01-31T17:49:45.401Z
208,MRC245887,5812,undefined Capital Guidimaka,RST,,Oumou,Ndiaye,Oumou Ndiaye,F,SONINKE,+22243741316,undefinedcapita@nafadpay.mr,8,Guidimaka,29,,82 Avenue Nasser,NaN,NaN,0.0059,300,5000,ACTIVE,2024-02-19,2024-02-19T00:55:16.214Z
202,MRC999347,5651,undefined Ksar Nouakchott-Nord,HAB,,El Mokhtar,Ould Abdel Aziz,El Mokhtar Ould Abdel Aziz,M,MAURE,+22247741316,undefinedksarno@nafadpay.mr,1,Nouakchott-Nord,1,,127 Avenue Principale,NaN,NaN,0.0196,2000,30000,ACTIVE,2024-06-16,2024-06-16T06:16:13.494Z
111,MRC201006,5211,undefined de la Paix Gorgol,BTP,,Samba,Thiam,Samba Thiam,M,WOLOF,+22222102645,undefineddelapa@nafadpay.mr,7,Gorgol,23,,88 Avenue du Commerce,NaN,NaN,0.0153,5000,500000,ACTIVE,2022-08-26,2022-08-26T20:54:24.481Z
427,MRC311954,5812,undefined El Baraka Nouakchott-Sud,RST,,Lassana,Sall,Lassana Sall,M,PEUL,+22248741325,undefinedelbara@nafadpay.mr,3,Nouakchott-Sud,7,,29 Avenue Nasser,NaN,NaN,0.0145,300,5000,ACTIVE,2024-10-28,2024-10-28T11:57:44.594Z
108,MRC634084,4812,undefined El Khair Inchiri,TEL,,Hacen,Sall,Hacen Sall,M,PEUL,+22225938708,undefinedelkhai@nafadpay.mr,14,Inchiri,52,,43 Avenue du Commerce,NaN,NaN,0.0079,500,10000,ACTIVE,2021-06-26,2021-06-26T13:03:50.541Z
14,MRC281973,5411,undefined El Wafa Adrar,ALM,,Maguette,Diop,Maguette Diop,F,SONINKE,+22235735613,undefinedelwafa@nafadpay.mr,12,Adrar,46,,94 Avenue du Commerce,NaN,NaN,0.0086,200,5000,ACTIVE,2022-03-11,2022-03-11T04:26:26.237Z
371,MRC161545,5912,undefined El Baraka Nouakchott-Ouest,SAN,,Aicha,Mint Horma,Aicha Mint Horma,F,MAURE,+22236741322,undefinedelbara@nafadpay.mr,2,Nouakchott-Ouest,6,,193 Avenue de la Paix,NaN,NaN,0.0057,500,50000,INACTIVE,2022-05-02,2022-05-02T11:20:53.216Z
459,MRC302015,4812,undefined Plus Nouakchott-Nord,TEL,,Wedadi,Ould Abdallah,Wedadi Ould Abdallah,M,MAURE,+22247741327,undefinedplusno@nafadpay.mr,1,Nouakchott-Nord,2,,51 Avenue Nasser,NaN,NaN,0.0106,500,10000,ACTIVE,2024-11-02,2024-11-02T14:52:27.869Z
206,MRC159629,5411,undefined Al Amane Nouakchott-Sud,ALM,,Kelthoum,Fall,Kelthoum Fall,F,PEUL,+22244741316,undefinedalaman@nafadpay.mr,3,Nouakchott-Sud,7,,123 Avenue du Commerce,NaN,NaN,0.0129,200,5000,ACTIVE,2024-07-12,2024-07-12T01:51:31.302Z
